,Title,Published_date,Views,Likes,Dislikes,Comments,Month
0,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,5458,294,0,32,May
1,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,17886,797,0,56,May
2,This AI question will determine our future,2023-04-06,3823,250,0,37,Apr
3,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,68776,771,0,79,Apr
4,Your current portfolio is actually hurting you #shorts,2023-03-30,3821,217,0,2,Mar
5,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,4163,230,0,3,Mar
6,you're job searching wrong. #shorts,2023-03-23,3087,189,0,3,Mar
7,The Economics of Data Roles #shorts,2023-03-21,4496,296,0,5,Mar
8,Why your phone knows everything you say #shorts,2023-03-18,2403,111,0,7,Mar
9,Read these for a successful career. #shorts,2023-03-16,2429,201,0,2,Mar
10,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2237,44,0,5,Mar
11,How I Realized I Was a Bad Manager #shorts,2023-03-07,2369,113,0,1,Mar
12,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,17390,675,0,52,Mar
13,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,5604,190,0,8,Mar
14,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2144,141,0,2,Feb
15,Learning On the companies dime #shorts,2023-02-24,2767,158,0,1,Feb
16,The Best Way to Transition to Data Science? #shorts,2023-02-21,3217,212,0,6,Feb
17,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,4935,292,0,6,Feb
18,Don't Go into Data for the Money #shorts,2023-02-15,3347,193,0,12,Feb
19,Battle Tested Advice for Your First Data Science Project (It's Important),2023-02-13,4757,291,0,22,Feb
20,How to Approach Applying for a Data Role #shorts,2023-02-08,3414,223,0,7,Feb
21,The Hard Reality of Data Science Work #shorts,2023-02-06,8145,522,0,9,Feb
22,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,3961,157,0,6,Feb
23,These 3 Things Make Data Science Special #shorts,2023-02-01,3773,284,0,6,Feb
24,Will Data Science Be Automated? #shorts,2023-01-27,5969,297,0,7,Jan
25,Is Data Science A Good Fit For You? #shorts,2023-01-25,4583,263,0,9,Jan
26,5 Books I Wish I Read Earlier In My Career,2023-01-23,8321,478,0,49,Jan
27,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,4078,414,0,10,Jan
28,What Data Science Tool Would I Learn First? #shorts,2023-01-17,6007,443,0,10,Jan
29,How long does it take to become a Data Scientist? #shorts,2023-01-12,4824,390,0,6,Jan
30,Where & how to start your Data Science Journey #shorts,2023-01-09,6199,379,0,2,Jan
31,How I Would NOT Learn Data Science in 2023.,2023-01-03,110952,3744,0,237,Jan
32,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4615,194,0,28,Dec
33,The Essential Programming Concepts For Learning Data Science,2022-11-14,19286,818,0,46,Nov
34,The Data Content House: What You Missed,2022-10-07,10223,342,0,50,Oct
35,Is Data Science A Good Career?,2022-09-29,54303,1758,0,127,Sep
36,IRON ANALYST (Teaser) #shorts,2022-09-27,5482,357,0,24,Sep
37,When a New Data Scientist Joins The Team,2022-08-29,16052,736,0,133,Aug
38,State of Data Science - Web Data,2022-08-05,10381,359,0,34,Aug
39,Data Science Town Hall - State of Data Science,2022-08-04,9904,378,0,38,Aug
40,The Programming Roadmap For Data Science,2022-07-29,25236,1238,0,65,Jul
41,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,58131,2392,0,91,Jun
42,Machine Learning Saves My Baseball Career?,2022-06-10,7372,335,0,68,Jun
43,Every Data Scientist... (funny!),2022-05-24,15869,836,0,146,May
44,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15947,431,0,65,May
45,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,48571,1326,0,83,Apr
46,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,19773,846,0,108,Mar
47,Data Scientists VS NFT Scam,2022-03-03,4547,188,0,51,Mar
48,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,10900,507,0,144,Feb
49,What Professional Data Scientists ACTUALLY Do,2022-02-14,90981,3175,0,185,Feb
50,Can You Analyze My Data Better Than I Can?,2022-01-31,6969,318,0,62,Jan
51,Giving Back to My Most Engaged Subscribers!,2022-01-28,2307,119,0,89,Jan
52,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,22433,751,0,97,Jan
53,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8715,421,0,85,Jan
54,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8401,249,0,33,Jan
55,The Only Data Science Explanation You Need,2022-01-10,35110,1954,0,168,Jan
56,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14304,643,0,144,Jan
57,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,332243,14727,0,534,Dec
58,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,10353,393,0,65,Dec
59,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,7875,560,0,25,Dec
60,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,23982,1162,0,148,Dec
61,Why Is Data Engineering So HOT Right Now?,2021-11-26,29025,1090,0,141,Nov
62,Is Data Science Dying?,2021-11-19,117729,3742,0,355,Nov
63,7 Incredible Books That Transformed My Health and My Life,2021-11-12,7957,388,0,112,Nov
64,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3614,203,0,48,Nov
65,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,11818,275,0,36,Oct
66,ML Ops: What is it REALLY?,2021-10-22,6185,268,0,61,Oct
67,Business Skills for Data Science: What are they REALLY?,2021-10-18,6650,295,0,50,Oct
68,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2200,123,0,5,Oct
69,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5809,277,0,64,Oct
70,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,12615,530,0,112,Aug
71,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,9959,425,0,32,Aug
72,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,39679,1545,0,30,Aug
73,How I Learned to Learn.,2021-07-31,50414,2340,0,207,Jul
74,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,10004,563,0,50,Jul
75,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2373,93,0,30,Jul
76,Why are APIs Important for Data Science?,2021-07-09,9419,444,0,95,Jul
77,Is Your Phone REALLY Listening to You?,2021-07-03,5131,278,0,116,Jul
78,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,13938,568,0,120,Jun
79,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4061,225,0,41,Jun
80,#66DaysOfData - What is it? #shorts,2021-06-11,8839,383,0,54,Jun
81,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16353,994,0,89,Jun
82,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7394,392,0,195,May
83,How Data Science Projects Pay Off,2021-05-22,10434,589,0,146,May
84,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10442,485,0,134,May
85,What is a lambda function (python)? #shorts,2021-05-13,14402,895,0,49,May
86,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,25177,1353,0,59,May
87,What is Pandas? (Data & Data Science) #shorts,2021-04-30,22435,1131,0,87,Apr
